Ingredientid,Formula,cid,smiles
6,C20H30O,13996029,CC(C)C1=CC2=C(C=C1)C3(CCC(C(C3CC2)(C)C)O)C
13,C12H14N2O2,160511,C[NH2+]C(CC1=CNC2=CC=CC=C21)C(=O)[O-]
14,C30H50O3,5315112,CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5O)(C)CO)C)C)C)C
15,C30H50O4,5315488,CC12CCC(C(C1CCC3(C2CC=C4C3(CCC5(C4CC(CC5O)(C)CO)C)C)C)(C)CO)O
16,C28H112O4 ,5321424,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCC.O.O.O.O
17,C30H50O3 ,14335975,CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5O)(C)CO)C)C)C)C
18,C30H50O4 ,14335968,CC12CCC(C(C1CCC3(C2CC=C4C3(CCC5(C4CC(CC5O)(C)CO)C)C)C)(C)CO)O
19,C30H48O2,5315569,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(=O)C1)C)C)C)(C)C)O)C)C
20,C30H50O2,5315647,CC1(CC(C2(CCC3(C(=C2C1)CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C)O)C
22,C48H74O20 ,101586258,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8=O)(C)C(=O)O)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
27,C30H48O4,21594203,CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5O)(C)C(=O)O)C)C)C)C
30,C30H46O3,44575701,CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC6(CC5OC6=O)C)C)C)C)C
31,C36H54O10,6857683,CC1=CCC(OC1=O)C(C)C2CCC3(C2(CCC45C3CCC6C4(C5)CCC(C6(C)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C
36,C15H20O4 ,5375199,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C
56,C16H11O5- ,25202697,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3[O-])O
57,C22H22O10 ,5480899,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O
59,C30H46O4,6712546,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CC(C26CC1OC6=O)O)C)C)(C)C)O)C)C
60,C40H60O7,101316870,CC=C1CC(OC1)C=C(C)C(=O)OC2CC3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)C)O)C)C(=O)O
61,C28H32O14 ,5317025,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O
80,C16H26N4O2,,
81,C16H22N4O2,5317853,COC1=C(C=C(C=C1)C=CC(C=CCN=CN)N=CN)OC
85,C28H36O13 ,44145386,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4(C(OC(C(C4O)(O)OC)OC5=CC=CC=C5)C(O)OC)O
108,C6H10O2,53627482,[CH2-]COC(=C)OC[CH2+]
111,C4H8O2 ,447765,CC(C(=O)C)O
114,C22H21N3O2 ,,
115,C8H8O ,7410,CC(=O)C1=CC=CC=C1
116,C10H12O4,17198,CC(=O)C1=CC(=C(C(=C1)OC)O)OC
117,C9H10O3 ,2214,CC(=O)C1=CC(=C(C=C1)O)OC
125,C17H22O3 ,5319317,CC1=COC2=C1CC3C(=C)C(CCC3(C2)C)OC(=O)C
135,C23H28O7 ,91115446,CC(=O)OC(CCC1=CC(=C(C=C1)O)OC)CC(=O)CCC2=CC(=C(C=C2)O)OC
139,C12H18O3 ,24209837,CC1=CCC(CC1=O)C(C)(C)OC(=O)C
141,C37H58O11 ,44418831,CC1CC2C(OC3(C1C4(C(CC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)OC(=O)C)C)O2)C(C)(C)O
149,C32H52O2 ,,
153,C17H20O4 ,10869933,CC=C(C)C(=O)OC1=C(C=CC(=C1)C)C(=C)COC(=O)C
179,C30H38O9 ,,
180,C30H38O9 ,,
186,C17H20O6 ,,
210,C23H30O7 ,,
213,C16H16O6 ,,
219,C16H22O6 ,,
227,C22H34O5 ,,
231,C32H50O5,,
236,C17H24O5,,
244,C23H26O8,,
266,C32H50O4 ,,
