herb-id,Ingredientid
7428,6
5658,13
5658,14
5658,15
1419,16
5658,16
1419,17
5658,17
1419,18
5658,18
5658,19
5658,20
1419,22
5658,22
4393,27
4393,30
5658,31
6311,36
1050,56
1801,56
1844,56
2152,56
4211,56
4783,56
5423,56
5534,56
5755,56
5861,56
7682,56
1050,57
3676,59
3676,60
1050,61
1801,61
5755,61
5861,61
6075,81
6430,85
2496,108
4873,108
1501,111
4873,111
1660,115
2443,115
5347,115
5374,115
5422,115
6191,115
4990,116
2226,117
3706,117
5258,125
7484,135
5534,139
3006,141
3448,153
6726,275
1173,304
2862,304
1883,305
3969,309
7399,316
3022,351
3888,351
7863,351
1308,359
4990,391
5374,391
6004,391
2221,397
1010,402
7847,407
7047,423
6272,443
5532,445
1421,457
3414,471
2564,479
4179,483
4179,484
4179,485
3507,487
3006,512
3969,514
2502,527
3014,530
5736,543
3414,546
3414,547
3414,548
1235,550
1173,554
1767,554
2862,554
3194,554
5868,554
6968,554
2538,555
2538,556
2538,557
2538,558
1235,560
1235,561
4272,562
1235,565
1235,566
1883,580
5755,580
7221,592
1224,602
3653,602
1224,603
3653,603
1224,604
3653,604
1158,617
1595,617
1906,617
1991,617
2224,617
2356,617
2538,617
2932,617
3811,617
3861,617
4211,617
4256,617
4345,617
5020,617
5264,617
5265,617
5421,617
5658,617
7236,617
7253,617
7277,617
7298,617
7482,617
7659,617
7682,617
7870,617
6269,617
6919,617
1006,618
1328,618
1346,618
1766,618
2474,618
2522,618
2538,618
3370,618
3861,618
5258,618
5615,618
7482,618
7869,618
6269,618
6311,618
6621,618
6919,618
3861,626
4063,626
3738,627
3006,642
3396,645
1076,648
1654,653
6789,664
7484,675
6136,676
4192,677
6136,677
6726,703
6726,704
6726,705
4272,706
5669,706
6726,706
6726,707
5861,708
5861,709
4918,753
4918,754
4918,755
4918,756
4918,760
4918,761
1213,762
4918,762
5297,764
6726,768
6726,771
6726,772
2300,774
1766,785
1883,815
5034,815
6430,816
7382,816
6885,818
2276,819
2276,820
7305,823
5800,832
1554,834
5151,834
2356,844
5020,844
2356,846
3676,855
3676,856
1957,857
3997,857
3997,861
3676,862
5020,863
2522,875
2522,876
2475,878
2475,879
2525,880
2349,888
4741,888
2349,891
2349,892
2349,893
2349,894
2349,895
2349,896
2349,897
2349,898
1152,899
3696,899
3969,908
3969,910
1883,917
2958,917
3154,917
3303,917
3611,917
4428,917
4735,917
5354,917
6205,917
6289,917
6311,917
6927,917
1283,920
1428,920
1766,920
1766,921
1766,923
1766,924
1766,926
2224,928
3861,928
5658,928
5669,928
7484,928
7983,928
3993,930
1907,933
7399,933
4776,934
7741,938
2538,939
3244,939
3795,939
1766,947
1766,948
7049,949
1766,950
1766,951
1766,952
6621,952
1428,953
1766,953
1766,954
6161,957
6859,957
6390,966
1509,967
3683,967
7047,967
7047,970
3683,972
3683,973
3683,976
3683,981
1076,984
1932,984
6272,984
5541,985
6390,985
7370,985
5843,993
5843,1010
2852,1013
1346,1030
4272,1030
7049,1030
7069,1030
6847,1042
5800,1047
1501,1048
1654,1048
1739,1048
1907,1048
2612,1048
3370,1048
4449,1048
4776,1048
5151,1048
7307,1048
2443,1058
1173,1059
1173,1060
1173,1061
7682,1064
8099,1074
6584,1074
8114,1091
5449,1103
5449,1104
1801,1106
1801,1107
1421,1110
2124,1110
2152,1110
2834,1110
3548,1110
4879,1110
