herb-id,Web.Link,Pinyin.Name,Chinese.Name,English.Name,Latin.Name,Properties,Meridians,Effect
941,http://119.3.41.228/tcmid/herb/941/,E JIAO,??,Donkey hide gelatin,Colla Corii Asini,"Mild,Sweet","LUNG,LIVER,KIDNEY","1. Treatment of blood deficiency manifested as dizziness, blurred vision and palpitations. Donkey hide gelatin (Ejiao) is used with Ginseng (Renshen), Chinese angelica root (Danggui) and Prepared rehmannia root (Shudihuang). 2. Treatment of hemorrhage manifested as vomiting with bl"
1006,http://119.3.41.228/tcmid/herb/1006/,LING ZHI,??,Lucid Ganoderma Equivalent plant: Ganoderma japonicum,Ganoderma lucidum,"Mild,Sweet","LUNG,SPLEEN,LIVER,HEART,KIDNEY","To boost qi- blood, quiet heart and spirit, fortify spleen and stomach, lower cholesterol."
1010,http://119.3.41.228/tcmid/herb/1010/,YUAN ZHI,??,Thinleaf Milkwort Equivalent plant: Polygala sibirica,Polygala tenuifolia,"Minor Warm,Pungent,Bitter","LUNG,HEART","To quiet heart and spirit, dispel phlegm and open orifices, resolve toxin and disperse swelling."
1019,http://119.3.41.228/tcmid/herb/1019/,BIAN DOU,??,Niger Bean*,Lablab niger,"Mild,Sweet","SPLEEN,STOMACH","1. Treatment of deficient spleen not transforming and transporting water manifested as lassitude, poor appetite, loose stool or diarrhea, or leukorrhea due to downward flowing of turbid dampness. Hyacinth bean (Biandou) is used with Ginseng (Renshen), White atractylodes (Baizhu) and Poria (Fuling) in the formula Shen Ling Baizhu San. 2. Treatment of disharmony of the spleen and stomach due to invasion from exogenous pathogenic summer-damp-heat manifested as vomiting and diarrhea. Hyacinth bean (Biandou) is used with Elsholtzia (Xiangru) and Magnolia bark (Houpo) in the formula Xiangru San."
1023,http://119.3.41.228/tcmid/herb/1023/,QI YE YI ZHI HUA,?????,rhizome of Verticillate Paris,Rhizoma Paridis verticillatae,"Cold,Bitter",LIVER,"Treatment of boils, carbuncies, sore throat, venomous snake bite, traumatic pain, convulsions."
1027,http://119.3.41.228/tcmid/herb/1027/,SU GENG,??,stem of Common Perilla,Caulis Perillae Frutescentis,"Minor Warm,Pungent,Sweet","LUNG,SPLEEN,STOMACH",
1050,http://119.3.41.228/tcmid/herb/1050/,YE JU HUA,???,Indian Wild Chrysanthemum Flower,Chrysanthemum indicum,"Minor cold,Pungent,Bitter","LUNG,LIVER","To lower blood pressure, clear heat and resolve toxin."
1058,http://119.3.41.228/tcmid/herb/1058/,PAO HE ZI,???,PreparedFruit of Medicine Terminalia,Fructus Terminaliae Preparata,"Mild,Sour,Bitter,Punkery","LUNG,LARGE INTESTINE","Treatment of protracted diarrhea with hematochezia and prolapse of the rectum, chronic cough with sore throat and hoarseness of voice."
1076,http://119.3.41.228/tcmid/herb/1076/,DA ZAO,??,Chinese Date Equivalent plant:  Ziziphus jujuba var inermis,Ziziphus jujuba,"Warm,Sweet","SPLEEN,STOMACH","To supplement center and boost qi , nourish blood and quiet spirit."
1098,http://119.3.41.228/tcmid/herb/1098/,HU LU BA,???,Common Fenugreek,Trigonella foenum -graecum,"Warm,Bitter","LIVER,KIDNEY","To lower cholesterol, warm kidney, dispel cold, relieve pain."
1110,http://119.3.41.228/tcmid/herb/1110/,TIAN MEN DONG,???,Cochinchinese Asparagus,Asparagus cochinchinensis  [Syn.  Asparagus lucidus ],"Sweet, bitter,Extreme Cold","LUNG,KIDNEY","To enrich yin and moisten dryness, clear lung and downbear fire."
1123,http://119.3.41.228/tcmid/herb/1123/,ZE LAN,??,Shiny Bugleweed,Lycopus lucidus,"Bitter, pungent,slightly warm","LIVER,SPLEEN","To quicken blood and transform stasis, move water and disperse swelling, resolve toxin and eliminate welling abscess."
1152,http://119.3.41.228/tcmid/herb/1152/,WU ZHAO LONG,???,Cairo Morningglory,Ipomoea cairica  [Syn.  Ipomoea palmata ],"Cold,Sweet,Bitter","LUNG,LARGE INTESTINE,LIVER","To clear heat and resolve toxin, disinhibit water and free strangury."
1153,http://119.3.41.228/tcmid/herb/1153/,BAI JIN HUA,???,Shrubalthea Flower,Flos Hibisci,"Cool,Sweet,Slightly Bitter","LUNG,SPLEEN,LIVER",
1158,http://119.3.41.228/tcmid/herb/1158/,HUANG BI,??,bark of Amur corktree,Cortex Phellodendri,"Cold,Bitter","BLADDER,LARGE INTESTINE,KIDNEY",
1173,http://119.3.41.228/tcmid/herb/1173/,FU ZI,??,Prepared Common Monkshood Daughter Root Equivalent plant: Aconitum carmichaeli cv,Aconitum carmichaeli,"Extreme Hot,Pungent,Sweet","SPLEEN,HEART,KIDNEY","To return yang and treat collapse, supplement fire and reinforce yang."
1197,http://119.3.41.228/tcmid/herb/1197/,MU BIE ZI,???,Cochinhina Momordica Seed,Momordica cochinchinensis,"Warm,Slightly Sweet,Bitter","SPLEEN,STOMACH,LIVER","To dissipate binds and disperse swelling, attack toxin and cure sores."
1210,http://119.3.41.228/tcmid/herb/1210/,JIANG PI,??,Ginger peel,Cortex Zingiberis,"Warm,Pungent","LUNG,SPLEEN,STOMACH",
1213,http://119.3.41.228/tcmid/herb/1213/,HE CAO YA,???,Agrimonia bud,Gemma Agrimoniae,"Bitter,cool","LIVER,SMALL INTESTINE,LARGE INTESTINE",To kill tapeworm. Agrimonia bud (Hecaoya) is taken with warm boiled water in the morning before breakfast. The tapeworm should be discharged within five to six hours.
1224,http://119.3.41.228/tcmid/herb/1224/,QING FENG TENG,???,Orientvine,Sinomenium acutum,"Warm,Pungent,Bitter","SPLEEN,LIVER","To dispel wind and free network vessels, dispel damp and relieve pain."
1225,http://119.3.41.228/tcmid/herb/1225/,SHAN KU MAI,???,China Ixeris,Ixeris chinensis,"Cool,Bitter","LUNG,LIVER","To clear heat and resolve toxin, disperse swelling and expel pus, cool blood and stanch bleeding."
1235,http://119.3.41.228/tcmid/herb/1235/,CHANG PU,??,rhizome of Grassleaf sweetflag.,Rhizoma Acori graminei,"Warm,Pungent,Bitter","STOMACH,HEART",
1266,http://119.3.41.228/tcmid/herb/1266/,DA LI ZI,???,achene of Great Burdock,Fructus Arctii lappae,"Cold,Pungent,Bitter","LUNG,STOMACH","Treament of cough and expectroation in influenza or upper respiratory infection, measles, rubella, sore throat, mumps, erysipelas, carbuncles and sores."
1277,http://119.3.41.228/tcmid/herb/1277/,JI DAN,??,Chicken Bile,fel gallus domesticus,"Mild,Sweet",LUNG,
1278,http://119.3.41.228/tcmid/herb/1278/,ZHI JIANG CAN,???,Prepared Stiff Silkworm,Bombyx Batryticatus Preparata,"Mild,Pungent,Salty","LUNG,LIVER","1. Treatment of convulsions due to high fever and epileptic spasms. White-stiff silkworm (Baijiangcan) is used with Gastrodia tuber (Tianma), Arisaema tuber with bile (Dannanxing) and Ox gallstone (Niuhuang) in the formula Qianjin San. 2. Treatment of chronic convulsions with prolo"
1279,http://119.3.41.228/tcmid/herb/1279/,WANG JIANG,??,Royal jelly,Lac Regis Apis,"Mild,Sweet,Sour","SPLEEN,LIVER",
1282,http://119.3.41.228/tcmid/herb/1282/,BAI ZI REN,???,Chinese Arborvitae Kernel*,Biota orientalis,"Mild,Sweet","LARGE INTESTINE,HEART,KIDNEY","To nourish heart and quiet spirit, constrain sweat, moisten intestines and free stool."
1283,http://119.3.41.228/tcmid/herb/1283/,CONG,?,"Allium bulb, Wild scallion, Chinese green onion",Bulbus Allii Fistulosi,"Warm,Pungent","LUNG,STOMACH",
1304,http://119.3.41.228/tcmid/herb/1304/,ZHI MU,??,Common Anemarrhena,Anemarrhena asphodeloides,"Cold,Sweet,Bitter","LUNG,STOMACH,KIDNEY","To clear heat and drain fire, enrich yin and moisten dryness, eliminate vexation and allay thirst."
1308,http://119.3.41.228/tcmid/herb/1308/,KU DI DING,???,Bunge Corydalis,Corydalis bungeana,"Cold,Pungent,Bitter","LIVER,HEART","To clear heat toxin, disperse swollen welling abscess."
1311,http://119.3.41.228/tcmid/herb/1311/,ZHI MA,??,white seed of Oriental Sesame,Semen Sesami,"Mild,Sweet","LUNG,SPLEEN,LIVER,KIDNEY","Treatment of dizziness, blurred vision, tinnitus, impaired hearing, premature greying of the hair and beard, loss of hair after a serious disease, constipation."
1328,http://119.3.41.228/tcmid/herb/1328/,BEI SHA SHEN,???,Coastal Glehnia,Glehnia littoralis,"Minor cold,Sweet","LUNG,STOMACH","To nourish yin and clear lung, boost stomach and engender liquid."
